"Renewable Electricity generation (GWh) by Region/country/area, Technology and Year"

"Region/country/area","Technology","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Equatorial Guinea","Solar photovoltaic",0.000,0.142,0.142,0.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.190,0.428,0.428,0.406,0.393,0.225
"Eritrea","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,1.445,1.445,1.445,1.445,1.445
"Eritrea","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,1.445,1.445,1.445,1.445,1.445
"Eritrea","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Eritrea","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.003,0.008,0.009,0.043,0.066,15.034,15.034,17.244,21.721,22.199,22.194,22.170,20.674
"Eswatini","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Eswatini","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Eswatini","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Eswatini","Solar photovoltaic",0.000,0.004,0.004,0.013,0.070,0.168,0.222,0.315,0.359,0.402,0.901,1.073,1.111,1.136,1.174,1.174,1.269,1.294,1.308,1.284,1.274,1.199
"Ethiopia","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,29.400,192.000,356.000,526.300,499.000,786.011,782.011,532.524,848.071,609.041,817.201
"Ethiopia","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,29.400,192.000,356.000,526.300,499.000,786.011,782.011,532.524,848.071,609.041,817.201
"Ethiopia","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Ethiopia","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.424,0.425,0.849,2.167,5.789,15.603,18.039,20.835,22.383,19.754,19.754,32.295,33.895
"Gabon","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Gabon","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Gabon","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Gabon","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.140,0.140,0.140,0.140,0.140,0.680,0.680
"Gambia","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.263,0.263,1.840,1.840,2.128,2.128,2.128,2.128,2.128,2.128,2.128,2.128,2.128
"Gambia","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.263,0.263,1.840,1.840,2.128,2.128,2.128,2.128,2.128,2.128,2.128,2.128,2.128
"Gambia","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Gambia","Solar photovoltaic",0.000,0.019,0.108,0.334,0.627,1.030,1.160,1.863,2.245,2.592,2.833,2.964,3.173,3.231,3.357,3.452,3.468,3.472,3.472,4.271,4.271,4.162
"Ghana","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.035,0.035,0.035,0.035,0.035,0.035,0.035
"Ghana","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.035,0.035,0.035,0.035,0.035,0.035,0.035
"Ghana","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Ghana","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.202,10.574,15.666,41.820,44.768,50.953,75.911,82.811,148.827
"Guinea","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Guinea","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Guinea","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Guinea","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.925,0.925,0.925,0.956,0.171,0.171,0.174,0.412,0.718,20.001,21.066,22.015,22.525
"Guinea-Bissau","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Guinea-Bissau","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Guinea-Bissau","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Guinea-Bissau","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.504,0.504,0.504,1.889,1.889,1.889,1.889
"Kenya","Wind",0.100,0.055,0.155,0.350,0.425,0.415,0.290,0.200,0.250,8.305,17.005,16.500,14.960,16.305,27.562,47.636,61.175,56.227,58.267,57.980,51.375,82.800
"Kenya","Onshore wind energy",0.100,0.055,0.155,0.350,0.425,0.415,0.290,0.200,0.250,8.305,17.005,16.500,14.960,16.305,27.562,47.636,61.175,56.227,58.267,57.980,51.375,82.800
"Kenya","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Kenya","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.014,0.251,0.283,0.300,2.196,5.208,11.356,25.880,47.807,53.980,67.191,82.505,113.727,145.625,422.205
"Lesotho","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Lesotho","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Lesotho","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Lesotho","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.402,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.783
"Liberia","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Liberia","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Liberia","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Liberia","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.007,0.056,0.056,0.056,0.081,0.083,3.376,3.624,3.624,3.624,3.624
"Libya","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Libya","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Libya","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Libya","Solar photovoltaic",0.000,0.000,0.000,0.318,1.113,1.908,2.703,3.498,4.293,5.088,5.883,6.678,7.791,7.791,7.791,7.791,7.791,7.791,7.791,7.791,7.791,7.791
"Madagascar","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.039,0.039,0.250,0.452,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465
"Madagascar","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.039,0.039,0.250,0.452,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465
"Madagascar","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
